,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,41.0,,,,,85.0,120.0,,,,,,,,,,,,,,450.0,278.0,,,,,119.0,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,88.0,63.0,,,82.0,176.0,280.0,80.0,,,,,,,,,,,,,351.0,231.0,143.0,,,,,,80.0,87.0,,,,,,,,,,,,,
11,,,,,,,,,,,122.0,291.0,,,,,,,220.0,341.0,333.0,,,,,,,,,,,,258.0,339.0,206.0,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,48.0,,,,,,,322.0,569.0,396.0,,,,,,,,,,,,82.0,279.0,44.0,,,,,,,,,,71.0,,,,,,,,,,,
13,,,,,,,,,,225.0,,,,,,,,,218.0,382.0,86.0,,,,,,,,,,,,,,54.0,,,,186.0,156.0,,,,,,,,,,,,,,,,
14,,,,,,,,,79.0,159.0,,,,61.0,198.0,244.0,,55.0,144.0,164.0,,,,,,,,,,,,,,,99.0,121.0,64.0,88.0,388.0,333.0,249.0,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,178.0,247.0,208.0,175.0,183.0,202.0,82.0,74.0,,,,,,,,,,,,,72.0,133.0,132.0,126.0,208.0,269.0,273.0,212.0,162.0,73.0,,,,,,,,,,,,,
16,,,,,,,,,,,,40.0,124.0,156.0,188.0,197.0,196.0,137.0,196.0,212.0,151.0,,,,,,,,,,,,,128.0,141.0,122.0,143.0,191.0,199.0,189.0,200.0,172.0,120.0,,,,,,,,,,,,,
